ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
3790,1.347,0.703,1.018,0.709,1.706,0.618,14
3791,0.083,0.494,-0.507,0.507,0.252,0.386,14
3792,-0.324,0.46,0.76,0.663,-1.801,0.299,14
3793,0.765,0.586,0.901,0.687,-0.162,0.359,14
3794,-0.461,0.459,-0.976,0.454,-1.326,0.307,14
3795,-0.107,0.984,-0.522,0.509,-0.086,0.99,14
3796,-0.024,0.476,0.343,0.561,0.295,0.397,14
3798,0.121,0.849,0.856,0.681,0.039,0.373,14
3799,0.604,0.547,0.268,0.534,1.224,0.524,14
3801,0.368,0.523,0.075,0.981,0.201,0.377,14
3802,1.096,0.645,0.969,0.699,0.965,0.476,14
3803,0.536,0.52,0.291,0.541,1.476,0.568,14
3804,1.168,0.665,0.289,0.985,1.337,0.545,14
3805,-1.536,0.431,-0.659,0.463,-2.117,0.298,14
3806,0.371,0.522,0.877,0.682,0.041,0.368,14
3807,-0.114,0.983,-0.555,0.459,-0.091,0.989,14
3808,0.941,0.618,0.2,0.983,0.62,0.422,14
3809,0.248,0.511,0.847,0.677,-0.537,0.334,14
3811,-0.87,0.45,0.737,0.659,-1.227,0.314,14
3812,-0.739,0.443,-0.58,0.475,-0.999,0.32,14
3813,0.239,0.511,-0.629,0.474,-0.263,0.346,14
3814,0.315,0.501,0.082,0.981,0.419,0.391,14
3815,-0.282,0.462,-1.225,0.475,-0.212,0.353,14
3816,0.464,0.862,0.055,0.562,0.845,0.472,14
3817,-0.039,0.476,0.856,0.679,0.404,0.408,14
3818,0.886,0.608,0.178,0.983,0.432,0.403,13
3820,0.729,0.58,-0.057,0.497,-0.09,0.356,13
3821,-0.232,0.462,-0.559,0.457,-0.056,0.358,13
3822,0.208,0.493,-0.602,0.476,0.015,0.363,13
3823,-0.208,0.471,-1.342,0.482,-0.076,0.351,13
3824,0.219,0.495,0.032,0.981,-0.062,0.345,13
3826,0.67,0.574,0.086,0.982,-0.348,0.339,13
