ff_id,SC9,SC9_SE,city
1274,0.068,0.532,4
10168,0.865,0.686,4
1276,0.865,0.686,4
10035,-1.265,0.48,4
1278,-0.732,0.464,4
10172,0.246,0.543,4
10186,0.322,0.56,4
1281,0.865,0.686,4
10016,-0.513,0.479,4
10002,-0.525,0.472,4
10040,0.068,0.532,4
10080,-0.475,0.472,4
10071,-0.311,0.516,4
10191,0.448,0.593,4
1288,0.448,0.593,4
1289,0.176,0.549,4
1290,0.054,0.525,4
10028,0.054,0.525,4
10086,0.322,0.56,4
10017,-0.053,0.519,4
10067,0.865,0.686,4
1297,0.865,0.686,4
1299,0.087,0.528,4
10049,0.214,0.536,4
10072,0.865,0.686,4
1304,0.865,0.686,4
1306,0.196,0.569,4
10155,-0.19,0.514,4
1309,0.865,0.686,4
10121,-1.213,0.477,4
10087,0.865,0.686,4
10029,-0.426,0.486,4
10044,-0.773,0.469,4
10082,0.865,0.686,4
1316,0.865,0.686,4
1317,-1.11,0.476,4
1318,-0.053,0.519,4
1321,0.865,0.686,4
1322,-0.028,0.509,5
1323,-0.624,0.464,5
1324,0.068,0.532,5
1325,0.01,0.561,5
1327,-0.861,0.473,5
1328,-0.339,0.475,5
1329,-1.353,0.473,5
1332,-0.293,0.509,5
1333,-1.138,0.491,5
1335,-0.548,0.508,5
1336,-0.972,0.479,5
1338,-0.666,0.49,5
1341,-1.017,0.493,5
1342,0.865,0.686,5
1343,-0.231,0.496,5
1344,-0.664,0.479,5
1345,-0.575,0.498,5
1346,-2.277,0.567,5
1348,-0.908,0.476,5
1349,-0.506,0.473,5
1350,0.246,0.543,5
1351,-2.277,0.567,5
1353,-0.101,0.495,5
1354,-0.891,0.457,5
1355,0.068,0.532,5
1356,-0.107,0.51,5
1357,-0.304,0.495,5
1358,0.448,0.593,5
1359,0.865,0.686,5
1360,0.448,0.593,5
1363,0.311,0.579,5
1364,0.01,0.561,5
1365,0.01,0.561,5
1366,-0.079,0.501,5
1368,0.865,0.686,5
1369,-0.827,0.475,5
1370,-0.752,0.513,5
1371,0.865,0.686,5
1374,0.865,0.686,5
1375,-0.924,0.467,5
1377,-0.21,0.602,5
1379,-0.311,0.516,5
1380,-0.233,0.501,5
1383,-2.277,0.567,5
1384,0.865,0.686,5
1385,-0.028,0.509,5
1386,-0.579,0.509,5
1390,0.865,0.686,5
1392,-0.575,0.497,5
1393,-0.548,0.508,5
1396,-0.755,0.477,5
1397,0.865,0.686,5
1398,-0.003,0.515,5
1399,-0.339,0.475,5
1400,0.865,0.686,5
1401,-0.053,0.519,5
1402,0.865,0.686,5
1403,-1.168,0.468,5
1404,-2.277,0.567,5
1407,0.865,0.686,5
1408,0.322,0.56,5
1410,-0.281,0.485,5
1411,0.311,0.579,5
1413,0.246,0.543,5
1416,-0.548,0.508,5
1417,-0.164,0.507,5
1418,0.865,0.686,5
1419,-0.395,0.5,5
1421,-0.748,0.457,5
1422,0.086,0.579,5
1426,0.865,0.686,5
1427,-0.073,0.518,5
1428,0.311,0.579,5
1430,0.865,0.686,5
1431,0.246,0.543,5
1432,-0.618,0.477,5
1437,-0.47,0.49,5
1438,-0.077,0.525,5
1439,0.448,0.593,5
1440,0.865,0.686,5
1441,0.865,0.686,5
1442,-1.209,0.489,5
1443,0.865,0.686,5
1445,0.865,0.686,5
1447,0.865,0.686,5
1448,0.214,0.536,5
1449,-0.657,0.458,5
1450,-0.053,0.519,5
1451,0.322,0.56,5
1452,0.01,0.561,5
1453,-1.232,0.567,5
1454,0.865,0.686,5
1455,0.865,0.686,5
1456,0.865,0.686,5
1457,-0.56,0.459,5
1459,-0.64,0.47,5
1462,-0.906,0.458,5
1463,-0.281,0.485,5
1464,0.865,0.686,5
1465,-0.142,0.503,5
1469,0.865,0.686,5
1470,0.054,0.525,5
1471,-0.358,0.493,5
1475,0.865,0.686,5
1476,-0.293,0.509,5
1478,-0.296,0.504,5
1479,0.246,0.543,5
1482,-0.077,0.525,5
1484,0.865,0.686,5
1487,0.865,0.686,5
1489,0.865,0.686,5
1490,-0.077,0.525,5
1493,0.322,0.56,5
1497,-1.372,0.465,5
1499,0.865,0.686,5
1501,-1.231,0.457,5
1502,-0.997,0.485,5
1503,-0.079,0.501,5
1505,-1.673,0.493,5
1507,-0.254,0.485,5
1508,0.865,0.686,5
1509,0.322,0.56,5
1510,0.865,0.686,5
1511,0.865,0.686,5
1512,-0.281,0.485,5
1513,0.196,0.569,5
1515,-0.27,0.51,5
1518,0.865,0.686,5
1519,0.448,0.593,5
1521,0.865,0.686,5
1522,-1.16,0.492,5
1524,0.448,0.593,5
1525,-0.159,0.538,5
1526,0.865,0.686,5
1527,0.087,0.528,5
1528,0.865,0.686,5
1530,0.865,0.686,5
1532,-0.281,0.485,5
1535,-0.196,0.497,5
1537,-0.296,0.504,5
1538,0.822,0.708,5
1542,0.448,0.593,5
1545,-0.765,0.494,5
1548,0.865,0.686,5
1549,0.196,0.569,5
1550,0.865,0.686,5
1551,0.047,0.541,5
1552,0.01,0.561,5
1553,-0.752,0.513,5
1554,-0.922,0.457,5
1555,0.865,0.686,5
1557,0.068,0.532,5
1558,-0.493,0.481,5
1561,0.865,0.686,5
1563,0.865,0.686,5
1566,0.448,0.593,5
1567,-1.312,0.497,5
1569,-0.339,0.475,5
1571,0.865,0.686,5
1572,-1.825,0.509,5
1573,0.865,0.686,5
1577,-1.019,0.489,5
1579,0.865,0.686,5
1582,-1.25,0.478,5
1583,-0.054,0.571,5
1586,0.865,0.686,5
1587,-0.164,0.507,5
1588,0.865,0.686,5
1589,-1.673,0.493,5
1591,-1.551,0.517,5
1592,0.038,0.583,5
1594,0.01,0.561,5
1597,-0.254,0.485,5
1598,-0.29,0.526,5
1599,-0.455,0.482,5
1601,0.214,0.536,5
1604,0.246,0.543,5
1605,0.311,0.579,5
1607,0.865,0.686,5
1609,0.865,0.686,5
1610,-0.178,0.513,5
1612,0.448,0.593,5
1614,-0.423,0.481,5
1616,-0.56,0.459,5
1619,0.047,0.541,5
