ff_id,SC15,SC15_SE
2681,-0.207,0.485
2682,-0.121,0.496
2683,-1.106,0.457
2684,-0.774,0.471
2686,-0.416,0.479
2687,0.357,0.55
2688,-0.774,0.471
2689,0.911,0.655
2690,0.226,0.519
2691,-0.533,0.48
2692,-0.533,0.48
2693,0.25,0.521
2694,0.911,0.655
2695,0.911,0.655
2698,0.911,0.655
2699,-0.533,0.48
2700,0.357,0.55
2701,-0.844,0.465
2703,0.357,0.55
2704,-0.415,0.48
2706,-0.989,0.475
2707,-0.121,0.496
2708,-0.677,0.463
2711,-0.264,0.483
2712,0.911,0.655
2713,-0.415,0.48
2715,-0.533,0.48
2717,-1.086,0.473
2719,0.226,0.519
2720,-1.819,0.476
2722,0.911,0.655
2723,0.357,0.55
2724,0.25,0.521
2725,0.417,0.55
2726,0.357,0.55
2729,0.357,0.55
2730,-0.062,0.491
2731,0.357,0.55
2732,0.357,0.55
2733,0.25,0.521
2734,0.911,0.655
2736,0.226,0.519
2737,-1.12,0.455
2738,0.911,0.655
2739,-2.061,0.498
2740,-0.816,0.468
2741,0.25,0.521
2742,-1.555,0.461
2743,0.911,0.655
2744,-0.062,0.491
2745,-0.415,0.48
2746,-0.563,0.469
2747,-0.774,0.471
2748,-0.121,0.496
2750,-0.121,0.496
2751,-0.533,0.48
2752,0.357,0.55
2753,0.357,0.55
2754,0.226,0.519
2758,-0.533,0.48
2759,-0.144,0.497
2761,-1.212,0.469
2762,-1.058,0.458
2763,0.25,0.521
2764,-1.985,0.455
2765,-1.68,0.461
2766,0.911,0.655
2767,0.357,0.55
2768,0.357,0.55
2769,0.357,0.55
2770,0.25,0.521
2771,-0.533,0.48
2772,-0.011,0.511
2773,-0.084,0.491
2774,0.357,0.55
2775,-1.028,0.466
2777,-0.144,0.497
2779,0.911,0.655
2780,-0.207,0.485
2781,-0.753,0.464
2782,0.911,0.655
2784,0.226,0.519
2785,0.911,0.655
2787,0.911,0.655
2790,-0.798,0.47
2791,-0.774,0.471
2792,-0.121,0.496
2793,-0.44,0.484
2794,-1.111,0.472
2795,0.911,0.655
2796,-1.271,0.472
2797,-0.774,0.471
2800,0.911,0.655
2801,-1.552,0.474
2802,0.911,0.655
2804,0.226,0.519
2805,0.911,0.655
2806,-1.755,0.469
2807,-1.531,0.442
2808,0.911,0.655
2809,0.911,0.655
2810,0.911,0.655
2811,0.911,0.655
2812,-0.062,0.491
2813,-0.867,0.466
2814,-0.144,0.497
2815,-0.144,0.497
2816,0.911,0.655
2817,0.911,0.655
2818,-2.264,0.484
2819,-0.121,0.496
2820,-1.623,0.463
2821,-0.207,0.485
2823,-1.058,0.458
2824,-0.216,0.503
2825,-0.144,0.497
2827,-0.44,0.481
2828,0.011,0.506
2830,-1.776,0.454
2832,0.25,0.521
2833,-1.037,0.46
2835,0.226,0.519
2836,-0.062,0.491
2837,-0.144,0.497
2838,0.357,0.55
2839,0.357,0.55
2840,-0.011,0.511
2842,0.011,0.506
2843,0.25,0.521
2844,0.911,0.655
2845,-0.144,0.497
2846,0.226,0.519
2847,0.226,0.519
2848,-0.121,0.496
2849,-0.144,0.497
2850,-0.933,0.468
2851,-1.329,0.467
2854,0.911,0.655
2855,0.357,0.55
2857,0.357,0.55
2858,0.357,0.55
2859,-0.207,0.485
2860,0.357,0.55
2861,0.226,0.519
2862,-1.111,0.472
10197,-0.774,0.471
2865,-0.084,0.491
2866,-1.244,0.471
2869,0.911,0.655
2870,0.911,0.655
2871,0.25,0.521
2872,-0.144,0.497
2874,-0.062,0.491
2875,-0.774,0.471
2876,-0.084,0.491
2877,0.25,0.521
2878,-0.084,0.491
2880,-1.02,0.477
2881,0.357,0.55
2882,0.911,0.655
2883,-0.144,0.497
2884,0.357,0.55
2885,0.417,0.55
2886,0.911,0.655
2889,0.911,0.655
2890,-1.765,0.473
2892,-0.774,0.471
2893,-0.207,0.485
2894,0.911,0.655
2895,0.011,0.506
2896,0.357,0.55
2897,0.226,0.519
2898,0.911,0.655
2901,-0.533,0.48
2904,-1.021,0.462
2906,-0.533,0.48
2907,0.911,0.655
2908,0.417,0.55
2909,0.911,0.655
2912,0.911,0.655
2913,0.357,0.55
2914,-0.011,0.511
2915,0.417,0.55
2916,0.911,0.655
2917,0.911,0.655
2918,-1.469,0.478
2919,0.911,0.655
2922,-0.533,0.48
2923,-0.533,0.48
2924,0.911,0.655
2925,-0.144,0.497
2926,0.357,0.55
2927,-1.839,0.476
2928,-0.121,0.496
2929,0.911,0.655
2930,0.911,0.655
2931,0.911,0.655
2933,-0.533,0.48
2934,0.911,0.655
2936,0.226,0.519
2937,-1.34,0.447
2939,0.25,0.521
2940,0.25,0.521
2941,0.911,0.655
2942,0.911,0.655
2943,0.911,0.655
2944,-0.144,0.497
2945,-0.533,0.48
2946,-0.144,0.497
2947,0.25,0.521
2949,-0.062,0.491
2950,0.911,0.655
2951,0.25,0.521
2952,-1.02,0.477
2953,0.25,0.521
2954,-0.392,0.478
2955,0.911,0.655
2956,0.911,0.655
2957,-0.144,0.497
2958,0.911,0.655
2959,-0.631,0.482
2960,-0.96,0.465
2961,0.911,0.655
2962,0.357,0.55
2963,0.25,0.521
2964,0.357,0.55
2965,0.911,0.655
2966,-0.144,0.497
2968,0.417,0.55
2969,0.911,0.655
2970,0.357,0.55
2971,-0.121,0.496
2972,0.011,0.506
2973,-1.149,0.47
2974,0.25,0.521
2979,0.911,0.655
2980,0.911,0.655
2981,0.911,0.655
2982,0.911,0.655
10182,0.011,0.506
2986,-0.084,0.491
2987,-0.084,0.491
2988,-0.774,0.471
2989,-2.656,0.542
2992,-0.392,0.478
2994,0.417,0.55
2995,0.357,0.55
2997,-0.469,0.474
2998,0.911,0.655
2999,0.911,0.655
3002,0.911,0.655
3003,-0.392,0.478
3004,-2.293,0.508
3005,-0.677,0.463
3007,-0.563,0.469
3008,-0.121,0.496
3009,0.25,0.521
3010,-0.517,0.476
3011,-0.121,0.496
3012,0.911,0.655
3014,-0.062,0.491
3015,-0.207,0.485
3016,0.911,0.655
3017,0.911,0.655
3018,-0.121,0.496
3020,-0.011,0.511
3021,0.911,0.655
3022,0.011,0.506
3023,0.911,0.655
3024,0.911,0.655
3026,0.911,0.655
3027,0.911,0.655
3028,0.911,0.655
3029,-0.011,0.511
3030,-0.989,0.475
3031,-0.011,0.511
3033,-0.517,0.476
3034,-1.021,0.462
3036,-1.382,0.461
3037,0.011,0.506
3038,0.226,0.519
3039,-0.465,0.472
3040,0.357,0.55
3041,0.911,0.655
3042,-2.059,0.483
3043,-0.933,0.468
3044,-0.216,0.503
3045,0.357,0.55
3046,0.911,0.655
3047,0.911,0.655
3048,-0.121,0.496
3049,0.357,0.55
3052,0.357,0.55
3053,-0.11,0.492
3054,0.357,0.55
3055,0.911,0.655
3056,-1.623,0.463
3058,-0.631,0.482
3060,-0.144,0.497
3061,-0.774,0.471
3062,-1.186,0.457
3063,-1.306,0.461
3064,-0.816,0.468
3065,-0.062,0.491
3066,0.357,0.55
3067,0.417,0.55
3068,0.011,0.506
3071,0.011,0.506
3072,-0.144,0.497
3073,-1.02,0.477
3075,-1.857,0.449
3076,-0.207,0.485
3079,-1.759,0.471
3081,-0.867,0.466
3082,-1.327,0.466
3083,0.357,0.55
3084,0.25,0.521
3085,0.357,0.55
3086,-1.037,0.46
3087,0.911,0.655
3088,-0.533,0.48
3089,0.357,0.55
3090,-0.533,0.48
3092,-0.774,0.471
3093,0.226,0.519
3095,-1.02,0.477
3096,-0.894,0.468
3097,0.911,0.655
3098,-0.207,0.485
3099,-0.192,0.489
3102,-0.144,0.497
3107,0.911,0.655
3108,0.357,0.55
3109,0.357,0.55
3110,-0.415,0.48
3111,-0.207,0.485
3112,-0.798,0.47
3113,-1.31,0.451
3114,-0.465,0.472
3115,-0.144,0.497
3116,-1.782,0.444
3117,0.911,0.655
3118,-0.774,0.471
3119,0.911,0.655
3120,0.357,0.55
3122,0.25,0.521
3123,0.357,0.55
3124,0.357,0.55
3127,0.911,0.655
3128,0.911,0.655
3130,-0.816,0.468
3131,-0.774,0.471
3132,0.226,0.519
3133,0.357,0.55
3134,0.25,0.521
3135,0.226,0.519
3136,-1.026,0.464
3138,-1.02,0.477
3139,0.911,0.655
3142,-1.02,0.477
3143,-1.205,0.471
3144,-0.683,0.468
3145,-0.207,0.485
3146,-0.933,0.468
3147,0.911,0.655
3148,0.357,0.55
3150,-0.121,0.496
3151,-0.062,0.491
3152,0.911,0.655
3154,-0.774,0.471
3156,0.911,0.655
3158,0.226,0.519
3159,-0.121,0.496
3160,0.911,0.655
3161,0.911,0.655
3163,-1.244,0.471
3164,-1.233,0.456
3165,0.357,0.55
3167,0.357,0.55
3168,-0.144,0.497
3169,0.911,0.655
3170,0.911,0.655
3171,0.911,0.655
3172,0.226,0.519
3173,-0.533,0.48
3174,-0.121,0.496
3175,0.911,0.655
3180,-0.533,0.48
3181,0.226,0.519
3183,-0.415,0.48
3184,-0.144,0.497
3185,-0.121,0.496
3186,0.911,0.655
3187,0.911,0.655
3190,-1.055,0.471
3191,0.911,0.655
3192,-0.121,0.496
3194,0.911,0.655
3195,0.911,0.655
3196,0.25,0.521
3197,-0.465,0.472
3198,-0.084,0.491
3199,0.911,0.655
3200,0.417,0.55
3201,-0.634,0.48
3202,-0.216,0.503
3203,0.357,0.55
3204,0.226,0.519
3206,-1.708,0.458
3207,0.911,0.655
3209,-0.45,0.47
3210,-0.062,0.491
3212,-0.144,0.497
3213,0.911,0.655
3214,-1.212,0.469
3217,-0.084,0.491
3218,-0.517,0.476
3219,-1.759,0.471
3220,0.357,0.55
3221,-1.021,0.462
3222,-1.037,0.46
3223,-0.011,0.511
3225,-0.144,0.497
3226,0.226,0.519
3227,0.911,0.655
3228,-0.392,0.478
3230,-0.121,0.496
3231,-0.989,0.475
3232,0.911,0.655
3233,0.25,0.521
3234,-0.121,0.496
3235,-0.144,0.497
3236,0.911,0.655
3238,-0.774,0.471
3240,-1.45,0.448
3242,-0.207,0.485
