ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
10186,0.65,0.573,0.327,0.563,-1.664,0.635,-1.51,0.532,0.302,0.375,1.073,0.228,4
1281,0.055,0.98,0.781,0.681,-0.028,0.985,0.175,0.955,0.328,0.375,0.684,0.252,4
10016,0.013,0.491,-0.451,0.473,-0.805,0.476,-0.525,0.449,0.139,0.386,-0.503,0.382,4
10002,-0.863,0.461,-0.658,0.449,1.366,0.309,1.19,0.311,0.069,0.388,0.575,0.251,4
10040,0.044,0.505,0.09,0.527,0.386,0.332,0.615,0.361,-1.343,0.645,-1.304,0.565,4
10080,0.304,0.516,-0.502,0.451,0.2,0.34,-0.563,0.434,-0.371,0.455,-0.697,0.412,4
10071,-0.458,0.461,-0.233,0.512,0.486,0.311,0.033,0.407,-0.407,0.472,-0.574,0.377,4
10191,1.051,0.662,0.504,0.607,-1.452,0.597,-0.119,0.419,-0.171,0.438,0.861,0.238,4
1288,-1.43,0.434,0.294,0.58,0.306,0.329,1.067,0.276,1.221,0.281,1.424,0.212,4
1289,-0.781,0.456,0.176,0.548,0.389,0.316,0.97,0.31,-0.903,0.559,-0.913,0.467,4
1290,-1.826,0.445,0.003,0.522,0.247,0.332,-0.27,0.431,0.416,0.353,-0.431,0.36,4
10028,-0.913,0.454,0.047,0.525,1.299,0.312,0.933,0.336,-0.798,0.549,-0.476,0.379,4
10086,-0.744,0.445,0.294,0.56,0.328,0.315,0.451,0.375,-0.481,0.472,-0.492,0.377,4
10017,-0.455,0.467,-0.047,0.518,-0.626,0.438,0.11,0.404,-0.426,0.477,0.658,0.251,4
10067,-1.409,0.451,0.699,0.663,1.943,0.315,0.404,0.388,-0.604,0.507,-0.219,0.334,4
1297,-0.277,0.469,0.918,0.702,-1.363,0.581,-1.003,0.466,-1.439,0.67,-1.473,0.607,4
1299,1.068,0.664,-0.057,0.489,-1.225,0.542,-1.001,0.464,-0.105,0.421,0.043,0.307,4
10049,0.27,0.53,0.07,0.496,1.16,0.313,0.033,0.418,0.118,0.398,-0.748,0.422,4
10072,0.985,0.647,0.898,0.699,-0.727,0.453,-0.153,0.427,-0.198,0.44,0.28,0.277,4
1304,0.978,0.645,1.013,0.72,-0.274,0.374,-0.272,0.434,-1.385,0.661,-1.456,0.601,4
1306,0.475,0.534,0.277,0.579,-1.264,0.577,-0.408,0.41,0.09,0.393,0.117,0.289,4
